actor_common.dies,dies.,死了。
actor_data.spell_visual.transcendent_rat,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.void_traveler,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.wraith,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.zealot,makes gestures in the air.,在空中比划手势。
actor_data.wary.abaxu,seems disturbed.,显得不安。
actor_data.wary.abyssal_troglodyte,looks wary.,显得警觉。
actor_data.wary.air_beast,seems aggravated.,似乎被激怒了。
actor_data.wary.air_hound,seems aggravated.,似乎被激怒了。
actor_data.wary.ape,looks wary.,显得警觉。
actor_data.wary.black_mamba,seems aggravated.,似乎被激怒了。
actor_data.wary.black_phillip,looks wary.,显得警觉。
actor_data.wary.bloated_zombie,looks wary.,显得警觉。
actor_data.wary.bog_tcher,looks wary.,显得警觉。
actor_data.wary.brown_jenkin,seems aggravated.,似乎被激怒了。
actor_data.wary.byakhee,looks wary.,显得警觉。
actor_data.wary.chthonian,seems disturbed.,显得不安。
actor_data.wary.clear_mold,seems disturbed.,显得不安。
actor_data.wary.corpse_mound,looks wary.,显得警觉。
actor_data.wary.crawling_hand,seems aggravated.,似乎被激怒了。
actor_data.wary.croc_head_mummy,looks wary.,显得警觉。
actor_data.wary.cultist,looks wary.,显得警觉。
actor_data.wary.cultist_arch_wizard,looks wary.,显得警觉。
actor_data.wary.cultist_priest,looks wary.,显得警觉。
actor_data.wary.cultist_wizard,looks wary.,显得警觉。
actor_data.wary.dean_halsey,looks wary.,显得警觉。
actor_data.wary.death_fiend,looks wary.,显得警觉。
actor_data.wary.deep_one,looks wary.,显得警觉。
actor_data.wary.dust_vortex,seems disturbed.,显得不安。
actor_data.wary.earth_beast,seems aggravated.,似乎被激怒了。
actor_data.wary.earth_hound,seems aggravated.,似乎被激怒了。
actor_data.wary.elder_void_traveler,looks wary.,显得警觉。
actor_data.wary.energy_vortex,seems disturbed.,显得不安。
actor_data.wary.failed_reanimation,looks wary.,显得警觉。
actor_data.wary.fire_beast,seems aggravated.,似乎被激怒了。
actor_data.wary.fire_hound,seems aggravated.,似乎被激怒了。
actor_data.wary.fire_vortex,seems disturbed.,显得不安。
actor_data.wary.floating_skull,looks wary.,显得警觉。
actor_data.wary.flying_polyp,looks wary.,显得警觉。
actor_data.wary.gas_spore,seems disturbed.,显得不安。
actor_data.wary.ghost,looks disturbed.,显得惊扰。
actor_data.wary.ghoul,looks wary.,显得警觉。
actor_data.wary.giant_bat,seems disturbed.,显得不安。
actor_data.wary.giant_mantis,seems disturbed.,显得不安。
actor_data.wary.glasuu,seems disturbed.,显得不安。
actor_data.wary.greater_polyp,looks wary.,显得警觉。
actor_data.wary.green_spider,seems aggravated.,似乎被激怒了。
actor_data.wary.high_priest_guard_ghoul,looks wary.,显得警觉。
actor_data.wary.high_priest_guard_rogue,looks wary.,显得警觉。
actor_data.wary.high_priest_guard_war_vet,looks wary.,显得警觉。
actor_data.wary.hunting_horror,looks wary.,显得警觉。
actor_data.wary.intestinal_mass,starts groping and feeling around.,开始四处摸索。
actor_data.wary.invis_stalker,looks wary.,显得警觉。
actor_data.wary.keziah_mason,looks wary.,显得警觉。
actor_data.wary.khaga,looks wary.,显得警觉。
actor_data.wary.khaga_offspring,looks wary.,显得警觉。
actor_data.wary.khephren,looks wary.,显得警觉。
actor_data.wary.leng_doomweaver,seems aggravated.,似乎被激怒了。
actor_data.wary.leng_matriarch,seems aggravated.,似乎被激怒了。
actor_data.wary.leng_spider,seems aggravated.,似乎被激怒了。
actor_data.wary.leviathan,seems disturbed.,显得不安。
actor_data.wary.locust,seems disturbed.,显得不安。
actor_data.wary.major_clapham_lee,looks wary.,显得警觉。
actor_data.wary.mi_go,looks wary.,显得警觉。
actor_data.wary.mi_go_bio_engineer,looks wary.,显得警觉。
actor_data.wary.mi_go_commander,looks wary.,显得警觉。
actor_data.wary.mi_go_omega_sentinel,looks wary.,显得警觉。
actor_data.wary.mind_leech,seems disturbed.,显得不安。
actor_data.wary.mind_worm,seems disturbed.,显得不安。
actor_data.wary.mold,seems disturbed.,显得不安。
actor_data.wary.mold_halluc,seems disturbed.,显得不安。
actor_data.wary.mummy,looks wary.,显得警觉。
actor_data.wary.niduza,looks wary.,显得警觉。
actor_data.wary.nitokris,looks wary.,显得警觉。
actor_data.wary.ooze_lurking,seems disturbed.,显得不安。
actor_data.wary.ooze_poison,seems disturbed.,显得不安。
actor_data.wary.ooze_putrid,seems disturbed.,显得不安。
actor_data.wary.pickman,looks wary.,显得警觉。
actor_data.wary.pit_viper,seems aggravated.,似乎被激怒了。
actor_data.wary.primordial_worm,seems disturbed.,显得不安。
actor_data.wary.rat,seems disturbed.,显得不安。
actor_data.wary.rat_thing,seems disturbed.,显得不安。
actor_data.wary.raven,seems disturbed.,显得不安。
actor_data.wary.red_spider,seems aggravated.,似乎被激怒了。
actor_data.wary.sentry_drone,seems disturbed.,显得不安。
actor_data.wary.shadow,looks wary.,显得警觉。
actor_data.wary.shadow_spider,seems aggravated.,似乎被激怒了。
actor_data.wary.shapeshifter,seems aggravated.,似乎被激怒了。
actor_data.wary.spitting_cobra,seems aggravated.,似乎被激怒了。
actor_data.wary.strange_color,seems disturbed.,显得不安。
actor_data.wary.tentacle_cluster,seems disturbed.,显得不安。
actor_data.wary.the_high_priest,looks wary.,显得警觉。
actor_data.wary.thing,seems aggravated.,似乎被激怒了。
actor_data.wary.transcendent_rat,seems disturbed.,显得不安。
actor_data.wary.troglodyte,looks wary.,显得警觉。
actor_data.wary.vampire_bat,seems disturbed.,显得不安。
actor_data.wary.void_traveler,looks wary.,显得警觉。
actor_data.wary.warping_aberrance,looks wary.,显得警觉。
actor_data.wary.water_beast,seems aggravated.,似乎被激怒了。
actor_data.wary.water_hound,seems aggravated.,似乎被激怒了。
actor_data.wary.white_spider,seems aggravated.,似乎被激怒了。
actor_data.wary.winged_zombie,looks wary.,显得警觉。
actor_data.wary.wolf,looks wary.,显得警觉。
actor_data.wary.worm_mass,seems disturbed.,显得不安。
actor_data.wary.wraith,looks disturbed.,显得惊扰。
actor_data.wary.zealot,looks wary.,显得警觉。
actor_data.wary.zombie,looks wary.,显得警觉。
actor_data.wary.zuul,looks wary.,显得警觉。
actor_death.agonized_screaming,I hear agonized screaming.,我听到痛苦的尖叫。
actor_death.dead_title,Dead,死亡
actor_death.live_again,I LIVE AGAIN!,我又活过来了！
actor_death.resurrect_history,Was brought back from the dead,死而复生
actor_death.resurrect_message,Strange emptiness surrounds me. An eternity passes as I lay frozen in a world of shadows. Suddenly I awake!,奇异的虚空包围着我。永恒仿佛在阴影世界中凝固，我被定住了。突然，我醒来了！
actor_eat.completely_devoured_suffix, is completely devoured.,被完全吞噬了。
actor_eat.feed_player_prefix,I feed on ,我啃食
actor_eat.feeds_on, feeds on ,啃食
actor_eat.period,.,。
actor_eat.ripping_and_chewing,I hear ripping and chewing.,我听到撕咬和咀嚼声。
actor_hit.armor_torn_apart_prefix,My ,我的
actor_hit.armor_torn_apart_suffix, is torn apart!,被撕裂了！
actor_hit.chop,*Chop!*,*劈砍！*
actor_hit.crack,*Crack!*,*咔嚓！*
actor_hit.destroyed_suffix, is destroyed.,被摧毁了。
actor_hit.low_hp_warning,-LOW HP WARNING!-,-低生命值警告！-
actor_hit.no_spirit_left_suffix, has no spirit left!,没有精神力了！
actor_hit.spirit_depleted,"All my spirit is depleted, I am devoid of life!",我的精神已耗尽，我失去了生命！
actor_hit.spirit_drained,My spirit is drained!,我的精神被抽干了！
actor_hit.sustained_severe_wound_history,Sustained a severe wound,遭受重伤
actor_hit.thud,*Thud!*,*砰！*
actor_hit.wracked_by_light,I am wracked by light!,我被光芒折磨！
actor_mon.blood_for_prefix,Blood for ,鲜血献给
actor_mon.cultist_phrase_apigami,Apigami!,Apigami!
actor_mon.cultist_phrase_bhuudesco_invisuu,Bhuudesco invisuu!,Bhuudesco invisuu!
actor_mon.cultist_phrase_bhuuesco_marana,Bhuuesco marana!,Bhuuesco marana!
actor_mon.cultist_phrase_caecux_infirmux,Caecux infirmux!,Caecux infirmux!
actor_mon.cultist_phrase_crudux_cruo,Crudux cruo!,Crudux cruo!
actor_mon.cultist_phrase_cruento_paashaeximus,Cruento paashaeximus!,Cruento paashaeximus!
actor_mon.cultist_phrase_cruento_pestis_shatruex,Cruento pestis shatruex!,Cruento pestis shatruex!
actor_mon.cultist_phrase_cruo_crunatus_durbe,Cruo crunatus durbe!,Cruo crunatus durbe!
actor_mon.cultist_phrase_cruo_lokemundux,Cruo lokemundux!,Cruo lokemundux!
actor_mon.cultist_phrase_cruo_stragara_na,Cruo stragara-na!,Cruo stragara-na!
actor_mon.cultist_phrase_gero_shay_cruo,Gero shay cruo!,Gero shay cruo!
actor_mon.cultist_phrase_in_marana_domus,In marana domus-bhaava crunatus!,In marana domus-bhaava crunatus!
actor_mon.cultist_phrase_malax_sayti,Malax sayti!,Malax sayti!
actor_mon.cultist_phrase_marana_malax,Marana malax!,Marana malax!
actor_mon.cultist_phrase_marana_pallex,Marana pallex!,Marana pallex!
actor_mon.cultist_phrase_pallex_ti,Pallex ti!,Pallex ti!
actor_mon.cultist_phrase_peroshay_bibox_malax,Peroshay bibox malax!,Peroshay bibox malax!
actor_mon.cultist_phrase_pestis_cruento,Pestis Cruento!,Pestis Cruento!
actor_mon.cultist_phrase_pestis_cruento_vilomaxus,Pestis cruento vilomaxus pretiacruento!,Pestis cruento vilomaxus pretiacruento!
actor_mon.cultist_phrase_pretaanluxis_cruonit,Pretaanluxis cruonit!,Pretaanluxis cruonit!
actor_mon.cultist_phrase_pretiacruento,Pretiacruento!,Pretiacruento!
actor_mon.cultist_phrase_prostragaranar_malachtose,Prostragaranar malachtose!,Prostragaranar malachtose!
actor_mon.cultist_phrase_stragar_naya,Stragar-Naya!,Stragar-Naya!
actor_mon.cultist_phrase_vilomaxus,Vilomaxus!,Vilomaxus!
actor_mon.cultist_phrase_vorox_esco_marana,Vorox esco marana!,Vorox esco marana!
actor_mon.exclaim,!,！
actor_mon.for_prefix,For ,为了
actor_mon.guide_us_suffix,", guide us!",，指引我们！
actor_mon.guides_us_suffix, guides us!,指引着我们！
actor_mon.in_the_name_of_prefix,In the name of ,以此之名：
actor_mon.perish_for_prefix,Perish for ,为此毁灭吧：
actor_mon.save_us_suffix, save us!,，救救我们！
actor_mon.sees_me_suffix, sees me!,看见了我！
actor_mon.voice_prefix,Voice: ,声音：
actor_mon.watches_over_us_suffix, watches over us!,注视着我们！
actor_mon.will_save_us_suffix, will save us!,会拯救我们！
actor_move.displace_prefix,I displace ,我挤开了
actor_move.it,it,它
actor_move.load_stagger,I stagger under the weight of my carried load.,我被携带物的重量压得踉跄。
actor_move.period,.,。
actor_move.seeps_prefix, seeps ,渗
actor_move.space,__SPACE__,__EMPTY__
actor_move.squirms_through, squirms through ,钻过
actor_move.through,through,穿过
actor_move.too_encumbered,I am too encumbered to move!,我负重太重，无法移动！
actor_move.under,under,从下方
actor_move.unknown_barrier,An unknown barrier blocks me. Perhaps it's for the best.,一道未知的屏障挡住了我。也许这样最好。
actor_move.wounds_stagger,My wounds cause me to stagger.,我的伤口让我踉跄了一下。
actor_player.a_creature,a creature,某个生物
actor_player.chill_runs_down_spine,A chill runs down my spine.,一阵寒意顺着我的脊背爬过。
actor_player.continue_equipping,Continue equipping ,继续装备
actor_player.continue_putting_on,Continue putting on ,继续穿上
actor_player.continue_taking_off,Continue taking off ,继续脱下
actor_player.feel_anxious,I feel anxious.,我感到焦虑。
actor_player.feel_examine_place,I feel like I should examine this place thoroughly.,我觉得我应该彻底检查这个地方。
actor_player.feel_great_interest,I feel like there is something of great interest here.,我觉得这里有某种极其有趣的东西。
actor_player.insane_message,My mind can no longer withstand what it has grasped. I am hopelessly lost.,我的心智再也无法承受它所领悟的东西。我已经彻底迷失了。
actor_player.insane_title,Insane!,疯狂！
actor_player.monster_here_prefix,There is ,这里有
actor_player.monster_here_suffix, here!,！
actor_player.more_fervent,I feel more fervent!,我感到更加虔诚！
actor_player.query_suffix,?,？
actor_player.sense_great_danger,I sense a great danger.,我感觉到巨大的危险。
actor_player.sense_great_power,I sense an object of great power here.,我感觉这里有一件极其强大的物品。
actor_player.some_foul_entity,some foul entity,某个污秽的实体
actor_player.someone,someone,某人
actor_player.turns_left_open, (,（
actor_player.turns_left_suffix, turns left)?,回合剩余）？
actor_start_turn.encumbered,"I am carrying too much weight, walking will be slower.",负重过多，走路会更慢。
actor_start_turn.exclaim,!,！
actor_start_turn.in_view_suffix, is in my view.,在我的视野中。
actor_start_turn.sanity_slipping,I feel my sanity slipping...,我感觉理智正在流失...
actor_start_turn.spot_prefix,I spot ,我发现了
ai.bashes_at_the, bashes at the ,正在撞击
ai.exclaim,!,！
ai.looks_desperate_suffix, looks desperate.,看起来绝望了。
attack.attack_prefix,Attack ,攻击
attack.it,it,它
attack.query_suffix,?,？
attack.with, with ,，使用
attack_melee.attack_terrain_prefix,Attacking ,攻击
attack_melee.attack_terrain_suffix, would be useless.,会毫无用处。
